state,city,zip,address1,address2,latitude,longitude
AK,Anchorage,99501,510 L St.,Suite 600,61.256,-149.920
AK,Anchorage,99501,510 L St.,Suite 750,61.256,-149.920
AK,Anchorage,99503,471 W. 36th Avenue,Suite 201,61.219,-149.913
AK,Fairbanks,99701,"Federal Building, 101 12th Ave.",Suite 328,64.861,-147.880
AK,Fairbanks,99707,"Key Bank Building, 100 Cushman St.",Suite 307,64.842,-147.724
AK,Juneau,99801,800 Glacier Ave.,Suite 101,58.504,-134.787
AK,Ketchikan,99901,1900 First Ave.,Suite 225,55.506,-133.152
AK,Soldotna,99669,44539 Sterling Highway,Suite 204,60.537,-151.212
AK,Wasilla,99654,851 E. Westpoint Dr.,Suite 307,61.682,-149.979
AK,Wasilla,99654,851 E. Westpoint Dr.,Suite 309,61.682,-149.979
AL,Anniston,36201,1129 Noble St.,# 104,33.732,-85.944
AL,Birmingham,35203,"Robert S. Vance Federal Building, 1800 5th Avenue North",321,33.541,-86.877
AL,Birmingham,35203,"Robert S. Vance Federal Building, 1800 5th Avenue North",,33.541,-86.877
AL,Birmingham,35203,Two 20th Street North,Suite 1130,33.541,-86.877
AL,Birmingham,35243,3535 Grandview Pkwy.,Suite 525,33.480,-86.776
AL,Clanton,35045,703 2nd Ave North,Box 502,32.937,-86.774
AL,Cullman,35055,205 4th Ave. NE,Suite 104,34.203,-86.872
AL,Decatur,35601,302 Lee St.,Room 86,34.620,-87.052
AL,Dothan,36305,217 Graceland Dr.,Suite 5,31.239,-85.518
AL,Florence,35630,102 S. Court St.,Suite 310,34.881,-87.719
AL,Gadsden,35901,600 Broad St.,Suite 107,34.150,-86.077
AL,Huntsville,35805,2101 W. Clinton Ave.,Suite 302,34.733,-86.663
AL,Jasper,35501,"Carl Elliott Building, 1710 Alabama Ave.",247,33.903,-87.568
AL,Mobile,36602,11 N. Water St.,Suite 15290,30.694,-88.064
AL,Mobile,36608,"BB&T Centre, 41 West I-65 Service Road North",Suite 2300-A,30.750,-88.395
AL,Montgomery,36104,401 Adams Ave.,Suite 160,32.409,-86.346
AL,Montgomery,36104,"Courthouse, 101 S. Lawrence St.",Annex 3,32.409,-86.346
AL,Montgomery,36104,"Federal Courthouse, 1 Church St",500-B,32.409,-86.346
AL,Oneonta,35121,"Blount County Courthouse, 220 2nd Ave E",,34.060,-86.579
AL,Opelika,36801,"G.W. Andrews Federal Building, 701 Avenue A",Suite 300,32.734,-85.464
AL,Selma,36701,"Federal Building, 908 Alabama Ave.",Suite 112,32.592,-87.153
AL,Summerdale,36580,502 W. Lee Ave.,,30.530,-87.808
AL,Tuscaloosa,35401,2005 University Blvd.,Suite 2100,33.362,-87.666
AL,Tuscaloosa,35401,2501 7th St.,Suite 300,33.362,-87.666
AR,Cabot,72023,112 S. 1st,,35.038,-92.169
AR,Conway,72032,1105 Deer St.,Suite 12,35.149,-92.502
AR,El Dorado,71730,101 N. Washington Ave.,Suite 406,33.324,-92.920
AR,El Dorado,71730,106 W. Main St.,Suite 104,33.324,-92.920
AR,Harrison,72601,303 N. Main St.,Suite 102,36.391,-93.293
AR,Hot Springs,71901,101 Reserve St.,Suite 200,34.634,-93.085
AR,Jonesboro,72401,2400 Highland Dr.,Suite 300,36.019,-90.772
AR,Little Rock,72201,1401 W. Capitol Ave.,Suite 155,34.77,-92.318
AR,Little Rock,72201,1401 W. Capitol Ave.,Suite 235,34.77,-92.318
AR,Little Rock,72207,1501 N. University Ave.,Suite 630,34.788,-92.362
AR,Mountain Home,72653,1001 Highway 62 E,Suite 9,36.484,-92.586
AR,Mountain Home,72653,1001 Hwy 62 East,Suite 11,36.484,-92.586
AR,Ozark,72949,211 W. Commercial St.,,35.690,-93.948
AR,Pine Bluff,71601,100 E. 8th Ave.,Room 2521,34.251,-92.058
AR,Rogers,72758,3333 Pinnacle Hls.,Suite 120,36.399,-94.222
AR,Springdale,72764,1108 S. Old Missouri Rd.,Suite B,36.237,-94.250
AR,Stuttgart,72160,620 E. 22nd St.,Suite 204,34.544,-91.604
AZ,Avondale,85323,1412 N. Central Ave.,Suite B,33.462,-112.357
AZ,Casa Grande,85122,211 N. Florence St.,Suite 1,32.982,-111.790
AZ,Glendale,85308,7121 W Bell Rd,#200,33.683,-112.348
AZ,Gold Canyon,85118,6499 S. Kings Ranch Rd.,#4,33.400,-111.531
AZ,Mesa,85209,2509 S. Power Rd.,Suite 204,33.458,-111.687
AZ,Phoenix,85004,411 N. Central Ave.,Suite 150,33.479,-112.346
AZ,Prescott,86301,122 N. Cortez St.,Suite 104,34.655,-112.484
AZ,Somerton,85350,146 N. State Ave.,,32.624,-114.767
AZ,Tucson,85714,"El Pueblo Community Center, 101 W. Irvington Road",Buildings 4 and 5,32.177,-110.993
AZ,Tucson,85741,3037 W. Ina Rd,Suite 101,32.431,-111.081
CA,Alameda,94501,1550 Oak St.,2nd Floor Staff Room,37.789,-122.308
CA,Albany,94706,"Albany Community Center, 1249 Marin Ave.",,37.899,-122.307
CA,Apple Valley,92307,"Apple Valley Town Hall, 14955 Dale Evans Parkway",,34.637,-117.280
CA,Auburn,95602,2399 Rickenbacker Way,,39.049,-121.188
CA,Bakersfield,93309,4100 Empire Dr.,Suite 150,35.386,-119.092
CA,Castro Valley,94546,3615 Castro Valley Blvd.,,37.726,-122.107
CA,Chula Vista,91910,333 F St.,Suite A,32.655,-117.101
CA,Claremont,91711,415 W. Foothill Blvd.,Suite 122,34.159,-117.750
CA,Clovis,93612,264 Clovis Ave.,Suite 206,36.837,-119.731
CA,Commerce,90040,500 Citadel Dr.,Suite 320,34.016,-118.176
CA,Compton,90220,"Compton City Hall, 205 S. Willowbrook Ave.",,33.903,-118.265
CA,Corona,92882,400 S. Vicentia Ave.,Suite 125,33.890,-117.647
CA,Davis,95616,412 G St.,,38.590,-121.866
CA,El Centro,92243,380 N. 8th St.,Suite 14,32.822,-115.691
CA,El Monte,91731,4401 Santa Anita Ave.,Suite 201,34.096,-118.071
CA,Fairfield,94533,1261 Travis Blvd.,Suite 130,38.900,-122.167
CA,Fresno,93721,2500 Tulare Street,Suite 5290,36.743,-119.801
CA,Fresno,93721,855 M St.,Suite 940,36.743,-119.801
CA,Garden Grove,92840,12865 Main St.,Suite 200,33.802,-117.958
CA,Hemet,92543,445 E. Florida Ave.,2nd Floor,33.771,-116.990
CA,Long Beach,90802,"West Tower, 100 W. Broadway",Suite 600,33.881,-118.209
CA,Los Angeles,90010,4929 Wilshire Blvd.,Suite 650,34.093,-118.391
CA,Los Angeles,90017,350 S. Bixel St.,#120,34.091,-118.327
CA,Los Angeles,90025,11111 Santa Monica Blvd.,Suite 915,34.096,-118.470
CA,Los Angeles,90028,5500 Hollywood Blvd.,Suite #416,34.106,-118.382
CA,Los Angeles,90036,5055 Wilshire Blvd.,Suite 310,34.296,-118.436
CA,Manhattan Beach,90266,1600 Rosecrans Ave.,4th Floor,33.916,-118.421
CA,Merced,95340,2222 M St.,Suite 305,37.377,-120.504
CA,Norwalk,90650,12440 E. Imperial Hwy.,Suite 140,33.932,-118.110
CA,Oakland,94612,1301 Clay St.,Suite 1000-N,37.842,-122.283
CA,Ontario,91764,3200 Inland Empire Blvd.,Suite 200B,34.091,-117.650
CA,Oxnard,93030,201 East Fourth St.,Suite 209B,34.218,-119.224
CA,Palm Desert,92211,43875 Washington Street,Suite F,33.801,-116.386
CA,Palo Alto,94301,698 Emerson St.,,37.457,-122.168
CA,Panorama City,91402,9612 Van Nuys Blvd.,Suite 201,34.246,-118.466
CA,Pasadena,91101,527 S. Lake Ave.,Suite 106,34.157,-118.183
CA,Petaluma,94952,206 G St.,Unit #3,38.335,-122.930
CA,Redding,96002,2885 Churn Creek Rd.,Suite C,40.628,-122.373
CA,Rialto,92376,141 S. Riverside Ave.,,34.147,-117.405
